***SESSION HEADER***
{
  "Participant": "S09",
  "Timestamp": "15-18-16-21-02-2019"
}
---SESSION HEADER---
Timestamp;Trial;Round;Training;Phase;PhaseLenght;Stimulus;FearObject;BigObject;RealDistance;EstimatedDistance;HeadsetPosition;HeadsetRotation;ControllerPosition;ControllerRotation;EstimatedPosition;TruePosition;
301.6893;0;0;False;Rating;0.000;Scorpio;True;False;1.6532;0.0000;(-0.0392, 1.1404, -7.1462);(-0.0593, 0.0197, -0.0115, 0.9980);(0.1016, 0.6189, -6.8496);(-0.1167, -0.0528, -0.0036, 0.9918);(0.0000, 0.0000, 0.0000);(0.1056, 0.0000, 1.6498);
305.4977;0;0;False;RatingInit;3.809;Scorpio;True;False;1.6532;0.0000;(-0.0345, 1.1276, -7.1706);(0.0759, 0.0151, -0.0119, 0.9969);(0.0984, 0.6150, -6.8463);(-0.1015, -0.0600, 0.0094, 0.9930);(0.0000, 0.0000, 0.0000);(0.1056, 0.0000, 1.6498);
366.0912;0;0;False;Rating;0.000;Deer;False;False;3.6729;0.0000;(-0.0226, 1.1412, -7.1454);(-0.0509, 0.1042, -0.0196, 0.9931);(0.1165, 0.6122, -6.8319);(-0.0863, -0.0081, -0.0049, 0.9962);(0.0000, 0.0000, 0.0000);(0.2836, 0.0000, 3.6619);
370.2795;1;0;True;TrainInit;4.188;empty;empty;empty;7.0000;0.0000;(-0.0280, 1.1452, -7.1475);(-0.1009, 0.0608, -0.0193, 0.9929);(-0.0182, 0.5854, -6.7767);(-0.1477, -0.1132, 0.0469, 0.9814);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);
372.0107;1;0;True;Focus;1.731;empty;empty;empty;7.0000;0.0000;(-0.0329, 1.1378, -7.1370);(-0.0441, 0.0387, -0.0151, 0.9982);(-0.0148, 0.5849, -6.7750);(-0.1424, -0.0986, 0.0524, 0.9835);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);
372.0216;1;0;True;BeforeFade;0.011;Turtle;False;False;2.3394;0.0000;(-0.0328, 1.1376, -7.1369);(-0.0436, 0.0382, -0.0152, 0.9982);(-0.0148, 0.5847, -6.7750);(-0.1423, -0.0988, 0.0524, 0.9835);(0.0000, 0.0000, 0.0000);(0.3210, 0.0000, 2.3173);
372.1224;1;0;True;Stimuli;0.101;Turtle;False;False;2.3394;0.0000;(-0.0328, 1.1379, -7.1372);(-0.0432, 0.0383, -0.0147, 0.9982);(-0.0150, 0.5847, -6.7749);(-0.1417, -0.0986, 0.0542, 0.9835);(0.0000, 0.0000, 0.0000);(0.3210, 0.0000, 2.3173);
373.1278;1;0;True;AfterFade;1.005;Turtle;False;False;2.3394;0.0000;(-0.0318, 1.1376, -7.1377);(-0.0342, 0.0484, -0.0210, 0.9980);(0.0356, 0.5819, -6.7549);(-0.0962, 0.0422, -0.0027, 0.9945);(0.0000, 0.0000, 0.0000);(0.3210, 0.0000, 2.3173);
381.7173;1;0;True;Estimation;8.589;Turtle;False;False;2.3394;2.4728;(-0.0359, 1.1379, -7.1486);(-0.0196, 0.0546, -0.0294, 0.9979);(0.1067, 0.5508, -6.7224);(0.0891, 0.0488, 0.0431, 0.9939);(0.3303, 0.0000, -4.5494);(0.3210, 0.0000, 2.3173);
383.3586;2;0;True;Focus;1.642;empty;empty;empty;7.0000;0.0000;(-0.0347, 1.1432, -7.1608);(-0.0500, 0.0544, -0.0324, 0.9967);(0.1070, 0.5596, -6.7215);(0.0794, 0.0350, 0.0311, 0.9957);(0.3303, 0.0000, -4.5494);(0.0000, 0.0000, -7.0000);
383.3699;2;0;True;BeforeFade;0.011;Pig;False;True;3.2102;0.0000;(-0.0348, 1.1428, -7.1608);(-0.0477, 0.0550, -0.0329, 0.9968);(0.1075, 0.5603, -6.7216);(0.0779, 0.0342, 0.0334, 0.9958);(0.3303, 0.0000, -4.5494);(0.7912, 0.0000, 3.1111);
383.4706;2;0;True;Stimuli;0.101;Pig;False;True;3.2102;0.0000;(-0.0353, 1.1408, -7.1589);(-0.0358, 0.0605, -0.0364, 0.9969);(0.1123, 0.5655, -6.7239);(0.0713, 0.0121, 0.0459, 0.9963);(0.3303, 0.0000, -4.5494);(0.7912, 0.0000, 3.1111);
384.4757;2;0;True;AfterFade;1.005;Pig;False;True;3.2102;0.0000;(-0.0384, 1.1431, -7.1548);(-0.0483, 0.0505, -0.0287, 0.9971);(0.1386, 0.5724, -6.7355);(0.0322, 0.0075, 0.0600, 0.9977);(0.3303, 0.0000, -4.5494);(0.7912, 0.0000, 3.1111);
392.7302;2;0;True;Estimation;8.254;Pig;False;True;3.2102;3.2706;(-0.0331, 1.1318, -7.1449);(0.0180, 0.0879, -0.0336, 0.9954);(0.1691, 0.5632, -6.7149);(0.0469, 0.1054, 0.0191, 0.9931);(0.7934, 0.0000, -3.8271);(0.7912, 0.0000, 3.1111);
394.5842;3;0;True;Focus;1.854;empty;empty;empty;7.0000;0.0000;(-0.0329, 1.1353, -7.1438);(-0.0042, 0.0660, -0.0300, 0.9974);(0.1499, 0.5749, -6.7214);(-0.0089, 0.0425, 0.0097, 0.9990);(0.7934, 0.0000, -3.8271);(0.0000, 0.0000, -7.0000);
394.5951;3;0;True;BeforeFade;0.011;FinalSnake;True;False;2.7948;0.0000;(-0.0329, 1.1354, -7.1438);(-0.0043, 0.0660, -0.0301, 0.9974);(0.1498, 0.5748, -6.7213);(-0.0080, 0.0426, 0.0089, 0.9990);(0.7934, 0.0000, -3.8271);(0.6416, 0.0000, 2.7202);
394.6957;3;0;True;Stimuli;0.101;FinalSnake;True;False;2.7948;0.0000;(-0.0328, 1.1355, -7.1434);(-0.0050, 0.0669, -0.0298, 0.9973);(0.1468, 0.5737, -6.7212);(-0.0043, 0.0358, 0.0154, 0.9992);(0.7934, 0.0000, -3.8271);(0.6416, 0.0000, 2.7202);
395.7011;3;0;True;AfterFade;1.005;FinalSnake;True;False;2.7948;0.0000;(-0.0343, 1.1345, -7.1432);(0.0021, 0.0679, -0.0285, 0.9973);(0.1402, 0.5737, -6.7190);(0.0079, 0.0297, 0.0436, 0.9986);(0.7934, 0.0000, -3.8271);(0.6416, 0.0000, 2.7202);
397.6108;3;0;True;Estimation;1.910;FinalSnake;True;False;2.7948;3.0465;(-0.0323, 1.1324, -7.1427);(0.0125, 0.0764, -0.0315, 0.9965);(0.1560, 0.5588, -6.7131);(0.0582, 0.0768, 0.0481, 0.9942);(0.5867, 0.0000, -4.0106);(0.6416, 0.0000, 2.7202);
399.2306;4;0;True;Focus;1.620;empty;empty;empty;7.0000;0.0000;(-0.0339, 1.1330, -7.1385);(0.0082, 0.0487, -0.0234, 0.9985);(0.0120, 0.5612, -6.7459);(-0.0273, -0.0537, 0.0369, 0.9975);(0.5867, 0.0000, -4.0106);(0.0000, 0.0000, -7.0000);
399.2415;4;0;True;BeforeFade;0.011;Rabbit;False;False;2.6631;0.0000;(-0.0339, 1.1331, -7.1386);(0.0081, 0.0488, -0.0235, 0.9985);(0.0117, 0.5612, -6.7458);(-0.0272, -0.0542, 0.0379, 0.9974);(0.5867, 0.0000, -4.0106);(0.2477, 0.0000, 2.6516);
399.3421;4;0;True;Stimuli;0.101;Rabbit;False;False;2.6631;0.0000;(-0.0345, 1.1333, -7.1384);(0.0065, 0.0490, -0.0240, 0.9985);(0.0118, 0.5605, -6.7459);(-0.0259, -0.0555, 0.0396, 0.9973);(0.5867, 0.0000, -4.0106);(0.2477, 0.0000, 2.6516);
400.3472;4;0;True;AfterFade;1.005;Rabbit;False;False;2.6631;0.0000;(-0.0357, 1.1323, -7.1378);(0.0117, 0.0490, -0.0265, 0.9984);(0.0286, 0.5578, -6.7391);(-0.0063, -0.0105, 0.0227, 0.9997);(0.5867, 0.0000, -4.0106);(0.2477, 0.0000, 2.6516);
402.0229;4;0;True;Estimation;1.676;Rabbit;False;False;2.6631;2.7585;(-0.0369, 1.1329, -7.1397);(0.0113, 0.0496, -0.0267, 0.9983);(0.0480, 0.5383, -6.7294);(0.0657, 0.0411, 0.0142, 0.9969);(0.2620, 0.0000, -4.2540);(0.2477, 0.0000, 2.6516);
403.7877;5;0;True;Focus;1.765;empty;empty;empty;7.0000;0.0000;(-0.0353, 1.1323, -7.1377);(0.0137, 0.0490, -0.0279, 0.9983);(0.0358, 0.5414, -6.7334);(0.0486, 0.0067, 0.0298, 0.9984);(0.2620, 0.0000, -4.2540);(0.0000, 0.0000, -7.0000);
403.7989;5;0;True;BeforeFade;0.011;Scorpio;True;False;2.1767;0.0000;(-0.0353, 1.1323, -7.1377);(0.0137, 0.0489, -0.0279, 0.9983);(0.0357, 0.5414, -6.7333);(0.0487, 0.0067, 0.0299, 0.9983);(0.2620, 0.0000, -4.2540);(-0.1441, 0.0000, 2.1719);
403.8990;5;0;True;Stimuli;0.100;Scorpio;True;False;2.1767;0.0000;(-0.0356, 1.1324, -7.1377);(0.0136, 0.0482, -0.0281, 0.9984);(0.0353, 0.5418, -6.7335);(0.0483, 0.0060, 0.0297, 0.9984);(0.2620, 0.0000, -4.2540);(-0.1441, 0.0000, 2.1719);
404.9044;5;0;True;AfterFade;1.005;Scorpio;True;False;2.1767;0.0000;(-0.0356, 1.1315, -7.1371);(0.0176, 0.0456, -0.0288, 0.9984);(0.0207, 0.5434, -6.7380);(0.0442, -0.0376, 0.0357, 0.9977);(0.2620, 0.0000, -4.2540);(-0.1441, 0.0000, 2.1719);
406.7587;5;0;True;Estimation;1.854;Scorpio;True;False;2.1767;2.2291;(-0.0349, 1.1314, -7.1374);(0.0182, 0.0462, -0.0293, 0.9983);(0.0197, 0.5273, -6.7367);(0.0952, -0.0470, 0.0472, 0.9932);(-0.1523, 0.0000, -4.7761);(-0.1441, 0.0000, 2.1719);
408.5456;6;0;True;Focus;1.787;empty;empty;empty;7.0000;0.0000;(-0.0336, 1.1311, -7.1366);(0.0195, 0.0479, -0.0313, 0.9982);(0.0239, 0.5285, -6.7355);(0.0893, -0.0347, 0.0408, 0.9946);(-0.1523, 0.0000, -4.7761);(0.0000, 0.0000, -7.0000);
408.5571;6;0;True;BeforeFade;0.012;Crocodile;True;True;4.5158;0.0000;(-0.0337, 1.1312, -7.1367);(0.0194, 0.0480, -0.0313, 0.9982);(0.0238, 0.5287, -6.7357);(0.0893, -0.0345, 0.0407, 0.9946);(-0.1523, 0.0000, -4.7761);(0.1121, 0.0000, 4.5144);
408.6573;6;0;True;Stimuli;0.100;Crocodile;True;True;4.5158;0.0000;(-0.0337, 1.1312, -7.1365);(0.0195, 0.0481, -0.0312, 0.9982);(0.0241, 0.5288, -6.7353);(0.0891, -0.0338, 0.0406, 0.9946);(-0.1523, 0.0000, -4.7761);(0.1121, 0.0000, 4.5144);
409.6624;6;0;True;AfterFade;1.005;Crocodile;True;True;4.5158;0.0000;(-0.0332, 1.1309, -7.1362);(0.0195, 0.0496, -0.0310, 0.9981);(0.0402, 0.5366, -6.7308);(0.0668, 0.0173, 0.0184, 0.9974);(-0.1523, 0.0000, -4.7761);(0.1121, 0.0000, 4.5144);
412.9473;6;0;True;Estimation;3.285;Crocodile;True;True;4.5158;4.5264;(-0.0338, 1.1313, -7.1365);(0.0178, 0.0479, -0.0308, 0.9982);(0.0372, 0.5584, -6.7324);(-0.0059, 0.0095, 0.0189, 0.9998);(0.1151, 0.0000, -2.4750);(0.1121, 0.0000, 4.5144);
414.6553;7;0;True;Focus;1.708;empty;empty;empty;7.0000;0.0000;(-0.0333, 1.1315, -7.1358);(0.0148, 0.0501, -0.0302, 0.9982);(0.0406, 0.5527, -6.7324);(0.0115, 0.0244, 0.0298, 0.9992);(0.1151, 0.0000, -2.4750);(0.0000, 0.0000, -7.0000);
414.6665;7;0;True;BeforeFade;0.011;FinalWolf;True;False;3.0155;0.0000;(-0.0333, 1.1316, -7.1360);(0.0148, 0.0499, -0.0301, 0.9982);(0.0409, 0.5526, -6.7325);(0.0116, 0.0249, 0.0301, 0.9992);(0.1151, 0.0000, -2.4750);(0.3459, 0.0000, 2.9956);
414.7670;7;0;True;Stimuli;0.101;FinalWolf;True;False;3.0155;0.0000;(-0.0333, 1.1315, -7.1358);(0.0145, 0.0493, -0.0301, 0.9982);(0.0415, 0.5525, -6.7320);(0.0120, 0.0267, 0.0293, 0.9991);(0.1151, 0.0000, -2.4750);(0.3459, 0.0000, 2.9956);
415.7723;7;0;True;AfterFade;1.005;FinalWolf;True;False;3.0155;0.0000;(-0.0331, 1.1316, -7.1359);(0.0153, 0.0498, -0.0305, 0.9982);(0.0521, 0.5405, -6.7283);(0.0589, 0.0572, 0.0146, 0.9965);(0.1151, 0.0000, -2.4750);(0.3459, 0.0000, 2.9956);
