***SESSION HEADER***
{
  "Participant": "S22",
  "Timestamp": "16-00-34-19-02-2019"
}
---SESSION HEADER---
Timestamp;Trial;Round;Training;Phase;PhaseLenght;Stimulus;FearObject;BigObject;RealDistance;EstimatedDistance;HeadsetPosition;HeadsetRotation;ControllerPosition;ControllerRotation;EstimatedPosition;TruePosition;
480.0718;3;0;True;Estimation;2.848;Deer;False;False;3.5585;8.2601;(-0.0093, 1.1219, -7.1174);(0.0757, 0.0462, -0.0245, 0.9958);(0.1097, 0.7811, -6.8361);(-0.0800, -0.0684, -0.2399, 0.9651);(-0.6635, 0.0000, 1.2334);(-0.2124, 0.0000, 3.5521);
481.9483;4;0;True;Focus;1.876;empty;empty;empty;7.0000;0.0000;(-0.0006, 1.1272, -7.1263);(0.0513, 0.0673, -0.0378, 0.9957);(0.1072, 0.7907, -6.8443);(-0.1052, -0.0394, -0.2535, 0.9608);(-0.6635, 0.0000, 1.2334);(0.0000, 0.0000, -7.0000);
481.9594;4;0;True;BeforeFade;0.011;Pig;False;True;4.5443;0.0000;(-0.0006, 1.1272, -7.1263);(0.0512, 0.0673, -0.0378, 0.9957);(0.1072, 0.7908, -6.8443);(-0.1053, -0.0394, -0.2538, 0.9607);(-0.6635, 0.0000, 1.2334);(-0.8654, 0.0000, 4.4612);
482.0599;4;0;True;Stimuli;0.101;Pig;False;True;4.5443;0.0000;(-0.0008, 1.1273, -7.1262);(0.0505, 0.0675, -0.0380, 0.9957);(0.1070, 0.7917, -6.8445);(-0.1073, -0.0391, -0.2536, 0.9606);(-0.6635, 0.0000, 1.2334);(-0.8654, 0.0000, 4.4612);
483.0653;4;0;True;AfterFade;1.005;Pig;False;True;4.5443;0.0000;(0.0007, 1.1277, -7.1275);(0.0439, 0.0717, -0.0365, 0.9958);(0.1131, 0.7917, -6.8417);(-0.1205, -0.0361, -0.2418, 0.9621);(-0.6635, 0.0000, 1.2334);(-0.8654, 0.0000, 4.4612);
500.9921;4;0;True;Estimation;17.927;Pig;False;True;4.5443;5.8543;(-0.0160, 1.1158, -7.1122);(0.1121, 0.0142, -0.0205, 0.9934);(0.0535, 0.7190, -6.8482);(-0.0118, -0.1030, -0.2246, 0.9689);(-1.0569, 0.0000, -1.2419);(-0.8654, 0.0000, 4.4612);
502.6228;5;0;True;Focus;1.630;empty;empty;empty;7.0000;0.0000;(0.0163, 1.1348, -7.1313);(-0.0044, 0.1454, -0.0477, 0.9882);(0.0656, 0.7212, -6.8477);(-0.0263, -0.0862, -0.2222, 0.9708);(-1.0569, 0.0000, -1.2419);(0.0000, 0.0000, -7.0000);
502.6341;5;0;True;BeforeFade;0.011;Crocodile;True;True;2.8023;0.0000;(0.0165, 1.1349, -7.1314);(-0.0053, 0.1470, -0.0479, 0.9880);(0.0657, 0.7212, -6.8477);(-0.0263, -0.0859, -0.2226, 0.9708);(-1.0569, 0.0000, -1.2419);(0.3539, 0.0000, 2.7798);
502.7342;5;0;True;Stimuli;0.100;Crocodile;True;True;2.8023;0.0000;(0.0175, 1.1360, -7.1334);(-0.0094, 0.1600, -0.0487, 0.9859);(0.0661, 0.7208, -6.8477);(-0.0265, -0.0849, -0.2210, 0.9712);(-1.0569, 0.0000, -1.2419);(0.3539, 0.0000, 2.7798);
503.7396;5;0;True;AfterFade;1.005;Crocodile;True;True;2.8023;0.0000;(0.0142, 1.1374, -7.1346);(-0.0156, 0.1554, -0.0421, 0.9868);(0.0671, 0.7215, -6.8474);(-0.0305, -0.0835, -0.2204, 0.9714);(-1.0569, 0.0000, -1.2419);(0.3539, 0.0000, 2.7798);
