number	latency	duration	channel	bvtime	type	code	urevent
1.000000	1.000000	1.000000	0.000000	-1615343572.000000	boundary	New Segment	1.000000
2.000000	767.000000	0.000000			RP		3604.000000
3.000000	1528.500000	0.000000			RP		3605.000000
4.000000	2280.000000	0.000000			RP		3606.000000
5.000000	3056.500000	0.000000			RP		3607.000000
6.000000	3846.500000	0.000000			RP		3608.000000
7.000000	4605.500000	0.000000			RP		3609.000000
8.000000	5331.000000	0.000000			RP		3610.000000
9.000000	6048.000000	0.000000			RP		3611.000000
10.000000	6782.500000	0.000000			RP		3612.000000
11.000000	7469.500000	0.000000			RP		3613.000000
12.000000	8169.500000	0.000000			RP		3614.000000
13.000000	8852.500000	0.000000			RP		3615.000000
14.000000	9544.000000	0.000000			RP		3616.000000
15.000000	10202.500000	0.000000			RP		3617.000000
16.000000	10849.000000	0.000000			RP		3618.000000
17.000000	11481.500000	0.000000			RP		3619.000000
18.000000	12104.000000	0.000000			RP		3620.000000
19.000000	12741.000000	0.000000			RP		3621.000000
20.000000	13382.500000	0.000000			RP		3622.000000
21.000000	14063.000000	0.000000			RP		3623.000000
22.000000	14765.000000	0.000000			RP		3624.000000
23.000000	15482.500000	0.000000			RP		3625.000000
24.000000	16161.000000	0.000000			RP		3626.000000
25.000000	16841.500000	0.000000			RP		3627.000000
26.000000	17502.500000	0.000000			RP		3628.000000
27.000000	18157.000000	0.000000			RP		3629.000000
28.000000	18799.500000	0.000000			RP		3630.000000
29.000000	19425.000000	0.000000			RP		3631.000000
30.000000	20070.000000	0.000000			RP		3632.000000
31.000000	20724.000000	0.000000			RP		3633.000000
32.000000	21411.000000	0.000000			RP		3634.000000
33.000000	22110.000000	0.000000			RP		3635.000000
34.000000	22818.000000	0.000000			RP		3636.000000
35.000000	23500.000000	0.000000			RP		3637.000000
36.000000	24194.000000	0.000000			RP		3638.000000
37.000000	24891.000000	0.000000			RP		3639.000000
38.000000	25595.500000	0.000000			RP		3640.000000
39.000000	26283.000000	0.000000			RP		3641.000000
40.000000	26962.000000	0.000000			RP		3642.000000
41.000000	27631.500000	0.000000			RP		3643.000000
42.000000	28285.000000	0.000000			RP		3644.000000
43.000000	28937.500000	0.000000			RP		3645.000000
44.000000	29596.000000	0.000000			RP		3646.000000
45.000000	30267.500000	0.000000			RP		3647.000000
46.000000	30959.000000	0.000000			RP		3648.000000
47.000000	31627.500000	0.000000			RP		3649.000000
48.000000	32301.000000	0.000000			RP		3650.000000
49.000000	32984.500000	0.000000			RP		3651.000000
50.000000	33681.500000	0.000000			RP		3652.000000
51.000000	34400.000000	0.000000			RP		3653.000000
52.000000	35099.000000	0.000000			RP		3654.000000
53.000000	35796.000000	0.000000			RP		3655.000000
54.000000	36478.500000	0.000000			RP		3656.000000
55.000000	37152.500000	0.000000			RP		3657.000000
56.000000	37816.500000	0.000000			RP		3658.000000
57.000000	38474.500000	0.000000			RP		3659.000000
58.000000	39141.500000	0.000000			RP		3660.000000
59.000000	39803.500000	0.000000			RP		3661.000000
60.000000	40478.500000	0.000000			RP		3662.000000
61.000000	41155.500000	0.000000			RP		3663.000000
62.000000	41820.500000	0.000000			RP		3664.000000
63.000000	42500.000000	0.000000			RP		3665.000000
64.000000	43179.000000	0.000000			RP		3666.000000
65.000000	43857.000000	0.000000			RP		3667.000000
66.000000	44520.000000	0.000000			RP		3668.000000
67.000000	45181.000000	0.000000			RP		3669.000000
68.000000	45860.000000	0.000000			RP		3670.000000
69.000000	46539.000000	0.000000			RP		3671.000000
70.000000	47220.500000	0.000000			RP		3672.000000
71.000000	47899.500000	0.000000			RP		3673.000000
72.000000	48543.500000	0.000000			RP		3674.000000
73.000000	49180.500000	0.000000			RP		3675.000000
74.000000	49819.000000	0.000000			RP		3676.000000
75.000000	50474.500000	0.000000			RP		3677.000000
76.000000	51141.000000	0.000000			RP		3678.000000
77.000000	51803.000000	0.000000			RP		3679.000000
78.000000	52475.500000	0.000000			RP		3680.000000
79.000000	53151.500000	0.000000			RP		3681.000000
80.000000	53826.500000	0.000000			RP		3682.000000
81.000000	54498.000000	0.000000			RP		3683.000000
82.000000	55148.500000	0.000000			RP		3684.000000
83.000000	55812.000000	0.000000			RP		3685.000000
84.000000	56457.000000	0.000000			RP		3686.000000
85.000000	57117.000000	0.000000			RP		3687.000000
86.000000	57783.000000	0.000000			RP		3688.000000
87.000000	58460.500000	0.000000			RP		3689.000000
88.000000	59117.000000	0.000000			RP		3690.000000
89.000000	59766.500000	0.000000			RP		3691.000000
90.000000	60416.500000	0.000000			RP		3692.000000
91.000000	61075.500000	0.000000			RP		3693.000000
92.000000	61719.000000	0.000000			RP		3694.000000
93.000000	62345.500000	0.000000			RP		3695.000000
94.000000	62974.000000	0.000000			RP		3696.000000
95.000000	63613.000000	0.000000			RP		3697.000000
96.000000	64242.000000	0.000000			RP		3698.000000
97.000000	64877.000000	0.000000			RP		3699.000000
98.000000	65506.000000	0.000000			RP		3700.000000
99.000000	66140.500000	0.000000			RP		3701.000000
100.000000	66795.000000	0.000000			RP		3702.000000
101.000000	67457.000000	0.000000			RP		3703.000000
102.000000	68112.500000	0.000000			RP		3704.000000
103.000000	68753.500000	0.000000			RP		3705.000000
104.000000	69400.000000	0.000000			RP		3706.000000
105.000000	70063.000000	0.000000			RP		3707.000000
106.000000	70689.000000	0.000000			RP		3708.000000
107.000000	71291.000000	0.000000			RP		3709.000000
108.000000	71904.000000	0.000000			RP		3710.000000
109.000000	72548.500000	0.000000			RP		3711.000000
110.000000	73203.000000	0.000000			RP		3712.000000
111.000000	73830.000000	0.000000			RP		3713.000000
112.000000	74440.500000	0.000000			RP		3714.000000
113.000000	75060.000000	0.000000			RP		3715.000000
114.000000	75691.500000	0.000000			RP		3716.000000
115.000000	76348.000000	0.000000			RP		3717.000000
116.000000	76990.000000	0.000000			RP		3718.000000
117.000000	77630.500000	0.000000			RP		3719.000000
118.000000	78288.500000	0.000000			RP		3720.000000
119.000000	78958.500000	0.000000			RP		3721.000000
120.000000	79647.500000	0.000000			RP		3722.000000
121.000000	80347.000000	0.000000			RP		3723.000000
122.000000	81012.000000	0.000000			RP		3724.000000
123.000000	81666.500000	0.000000			RP		3725.000000
124.000000	82306.500000	0.000000			RP		3726.000000
125.000000	82951.000000	0.000000			RP		3727.000000
126.000000	83631.500000	0.000000			RP		3728.000000
127.000000	84347.500000	0.000000			RP		3729.000000
128.000000	85042.500000	0.000000			RP		3730.000000
129.000000	85708.500000	0.000000			RP		3731.000000
130.000000	86349.000000	0.000000			RP		3732.000000
131.000000	86995.500000	0.000000			RP		3733.000000
132.000000	87683.500000	0.000000			RP		3734.000000
133.000000	88389.500000	0.000000			RP		3735.000000
134.000000	89107.500000	0.000000			RP		3736.000000
135.000000	89801.000000	0.000000			RP		3737.000000
136.000000	90463.000000	0.000000			RP		3738.000000
137.000000	91127.500000	0.000000			RP		3739.000000
138.000000	91793.500000	0.000000			RP		3740.000000
139.000000	92473.500000	0.000000			RP		3741.000000
140.000000	93150.500000	0.000000			RP		3742.000000
141.000000	93821.500000	0.000000			RP		3743.000000
142.000000	94498.000000	0.000000			RP		3744.000000
