number	latency	duration	channel	bvtime	type	code	urevent
111.000000	82050.000000	0.000000			RP		3711.000000
112.000000	82870.000000	0.000000			RP		3712.000000
113.000000	83690.000000	0.000000			RP		3713.000000
114.000000	84529.500000	0.000000			RP		3714.000000
115.000000	85428.000000	0.000000			RP		3715.000000
116.000000	86320.000000	0.000000			RP		3716.000000
117.000000	87150.000000	0.000000			RP		3717.000000
118.000000	87900.000000	0.000000			RP		3718.000000
119.000000	88620.000000	0.000000			RP		3719.000000
120.000000	89309.500000	0.000000			RP		3720.000000
121.000000	89960.000000	0.000000			RP		3721.000000
122.000000	90560.000000	0.000000			RP		3722.000000
123.000000	91160.000000	0.000000			RP		3723.000000
124.000000	91759.500000	0.000000			RP		3724.000000
125.000000	92469.000000	0.000000			RP		3725.000000
126.000000	93308.500000	0.000000			RP		3726.000000
127.000000	94099.000000	0.000000			RP		3727.000000
128.000000	94939.000000	0.000000			RP		3728.000000
129.000000	95828.500000	0.000000			RP		3729.000000
130.000000	96678.500000	0.000000			RP		3730.000000
131.000000	97508.500000	0.000000			RP		3731.000000
132.000000	98347.500000	0.000000			RP		3732.000000
133.000000	99188.000000	0.000000			RP		3733.000000
134.000000	100007.500000	0.000000			RP		3734.000000
135.000000	100787.500000	0.000000			RP		3735.000000
136.000000	101657.000000	0.000000			RP		3736.000000
137.000000	102547.000000	0.000000			RP		3737.000000
138.000000	103426.000000	0.000000			RP		3738.000000
139.000000	104266.000000	0.000000			RP		3739.000000
140.000000	105006.000000	0.000000			RP		3740.000000
141.000000	105775.500000	0.000000			RP		3741.000000
142.000000	106595.500000	0.000000			RP		3742.000000
143.000000	107425.500000	0.000000			RP		3743.000000
144.000000	107905.500000	0.000000			RP		3744.000000
145.000000	108304.500000	0.000000			RP		3745.000000
146.000000	109165.000000	0.000000			RP		3746.000000
147.000000	110005.000000	0.000000			RP		3747.000000
148.000000	110764.500000	0.000000			RP		3748.000000
149.000000	111484.500000	0.000000			RP		3749.000000
150.000000	112182.500000	0.000000			RP		3750.000000
151.000000	112864.500000	0.000000			RP		3751.000000
152.000000	113684.000000	0.000000			RP		3752.000000
153.000000	114554.000000	0.000000			RP		3753.000000
154.000000	115404.000000	0.000000			RP		3754.000000
155.000000	116244.500000	0.000000			RP		3755.000000
156.000000	117084.500000	0.000000			RP		3756.000000
157.000000	117943.500000	0.000000			RP		3757.000000
158.000000	118764.000000	0.000000			RP		3758.000000
159.000000	119544.000000	0.000000			RP		3759.000000
160.000000	120305.000000	0.000000			RP		3760.000000
161.000000	121124.500000	0.000000			RP		3761.000000
162.000000	121975.000000	0.000000			RP		3762.000000
163.000000	122815.000000	0.000000			RP		3763.000000
164.000000	123685.500000	0.000000			RP		3764.000000
165.000000	124505.500000	0.000000			RP		3765.000000
166.000000	125246.000000	0.000000			RP		3766.000000
167.000000	126006.000000	0.000000			RP		3767.000000
168.000000	126806.000000	0.000000			RP		3768.000000
169.000000	127367.000000	0.000000			RP		3769.000000
170.000000	128325.000000	0.000000			RP		3770.000000
171.000000	128931.000000	0.000000			RP		3771.000000
172.000000	129587.000000	0.000000			RP		3772.000000
173.000000	130144.000000	0.000000			RP		3773.000000
174.000000	130688.500000	0.000000			RP		3774.000000
175.000000	131418.500000	0.000000			RP		3775.000000
176.000000	132056.500000	0.000000			RP		3776.000000
177.000000	132748.500000	0.000000			RP		3777.000000
178.000000	133579.500000	0.000000			RP		3778.000000
179.000000	134457.500000	0.000000			RP		3779.000000
180.000000	135330.000000	0.000000			RP		3780.000000
181.000000	136170.000000	0.000000			RP		3781.000000
182.000000	136968.500000	0.000000			RP		3782.000000
183.000000	137671.000000	0.000000			RP		3783.000000
184.000000	138351.000000	0.000000			RP		3784.000000
185.000000	139031.500000	0.000000			RP		3785.000000
186.000000	139842.000000	0.000000			RP		3786.000000
187.000000	140671.500000	0.000000			RP		3787.000000
188.000000	141462.000000	0.000000			RP		3788.000000
189.000000	142272.500000	0.000000			RP		3789.000000
190.000000	143132.500000	0.000000			RP		3790.000000
191.000000	143963.000000	0.000000			RP		3791.000000
192.000000	144713.000000	0.000000			RP		3792.000000
193.000000	145463.500000	0.000000			RP		3793.000000
194.000000	146231.500000	0.000000			RP		3794.000000
195.000000	146953.500000	0.000000			RP		3795.000000
196.000000	147743.500000	0.000000			RP		3796.000000
197.000000	148593.500000	0.000000			RP		3797.000000
198.000000	149454.000000	0.000000			RP		3798.000000
199.000000	150254.000000	0.000000			RP		3799.000000
200.000000	151074.500000	0.000000			RP		3800.000000
201.000000	151915.000000	0.000000			RP		3801.000000
202.000000	152675.000000	0.000000			RP		3802.000000
203.000000	153345.500000	0.000000			RP		3803.000000
204.000000	153955.000000	0.000000			RP		3804.000000
205.000000	154526.000000	0.000000			RP		3805.000000
206.000000	155082.500000	0.000000			RP		3806.000000
207.000000	155620.500000	0.000000			RP		3807.000000
208.000000	156154.000000	0.000000			RP		3808.000000
209.000000	156676.500000	0.000000			RP		3809.000000
210.000000	157217.000000	0.000000			RP		3810.000000
211.000000	157797.500000	0.000000			RP		3811.000000
