***SESSION HEADER***
{
  "Participant": "S29",
  "Timestamp": "11-19-07-17-07-2019"
}
---SESSION HEADER---
Timestamp;Trial;Round;Training;Phase;PhaseLenght;Stimulus;FearObject;BigObject;RealDistance;EstimatedDistance;HeadsetPosition;HeadsetRotation;ControllerPosition;ControllerRotation;EstimatedPosition;TruePosition;AngleErrDeg
267.1234;0;0;False;Rating;0.000;Scorpio;True;False;3.7684;0.0000;(0.0843, 1.1534, -7.1749);(-0.0639, -0.0056, -0.0442, 0.9970);(0.0744, 0.5620, -6.7609);(0.0581, -0.0225, 0.0239, 0.9978);(0.0000, 0.0000, 0.0000);(0.3430, 0.0000, 3.7528);0.0000;
268.7757;0;0;False;RatingInit;1.653;Scorpio;True;False;3.7684;0.0000;(0.0840, 1.1538, -7.1756);(-0.0669, -0.0063, -0.0442, 0.9968);(0.0749, 0.5622, -6.7608);(0.0569, -0.0205, 0.0228, 0.9979);(0.0000, 0.0000, 0.0000);(0.3430, 0.0000, 3.7528);0.0000;
319.1609;0;0;False;Rating;0.000;Pig;False;True;3.3989;0.0000;(0.0851, 1.1531, -7.1759);(-0.0616, -0.0028, -0.0555, 0.9965);(0.0924, 0.5975, -6.7553);(-0.0455, 0.0385, 0.0459, 0.9972);(0.0000, 0.0000, 0.0000);(0.8046, 0.0000, 3.3023);0.0000;
327.1027;1;0;True;TrainInit;7.942;empty;empty;empty;7.0000;0.0000;(0.0834, 1.1555, -7.1775);(-0.0684, 0.0008, -0.0489, 0.9965);(0.0797, 0.5739, -6.7590);(0.0216, 0.0029, 0.0264, 0.9994);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);0.0000;
328.8224;1;0;True;Focus;1.720;empty;empty;empty;7.0000;0.0000;(0.0845, 1.1555, -7.1775);(-0.0677, 0.0020, -0.0513, 0.9964);(0.0948, 0.5894, -6.7591);(-0.0045, 0.0483, -0.0397, 0.9980);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);0.0000;
328.8335;1;0;True;BeforeFade;0.011;Scorpio;True;False;3.9341;0.0000;(0.0846, 1.1556, -7.1775);(-0.0678, 0.0017, -0.0516, 0.9964);(0.0946, 0.5896, -6.7592);(-0.0047, 0.0480, -0.0401, 0.9980);(0.0000, 0.0000, 0.0000);(0.8244, 0.0000, 3.8468);0.0000;
328.9342;1;0;True;Stimuli;0.101;Scorpio;True;False;3.9341;0.0000;(0.0850, 1.1561, -7.1787);(-0.0670, 0.0025, -0.0533, 0.9963);(0.0940, 0.5908, -6.7591);(-0.0115, 0.0472, -0.0264, 0.9985);(0.0000, 0.0000, 0.0000);(0.8244, 0.0000, 3.8468);0.0000;
329.9394;1;0;True;AfterFade;1.005;Scorpio;True;False;3.9341;0.0000;(0.0844, 1.1563, -7.1789);(-0.0692, 0.0046, -0.0530, 0.9962);(0.0986, 0.5871, -6.7583);(-0.0007, 0.0605, -0.0149, 0.9981);(0.0000, 0.0000, 0.0000);(0.8244, 0.0000, 3.8468);0.0000;
349.9439;1;0;True;Estimation;20.004;Scorpio;True;False;3.9341;4.0346;(0.0850, 1.1565, -7.1820);(-0.0693, -0.0003, -0.0561, 0.9960);(0.1097, 0.5850, -6.7558);(0.0143, 0.0939, 0.0109, 0.9954);(0.8398, 0.0000, 3.9463);(0.8244, 0.0000, 3.8468);0.0816;
351.8425;2;0;True;Focus;1.899;empty;empty;empty;7.0000;0.0000;(0.0849, 1.1562, -7.1828);(-0.0679, -0.0019, -0.0570, 0.9961);(0.1072, 0.5759, -6.7570);(0.0339, 0.0877, 0.0126, 0.9955);(0.8398, 0.0000, 3.9463);(0.0000, 0.0000, -7.0000);0.0816;
