***SESSION HEADER***
{
  "Participant": "S44",
  "Timestamp": "14-35-59-04-04-2019"
}
---SESSION HEADER---
Timestamp;Trial;Round;Training;Phase;PhaseLenght;Stimulus;FearObject;BigObject;RealDistance;EstimatedDistance;HeadsetPosition;HeadsetRotation;ControllerPosition;ControllerRotation;EstimatedPosition;TruePosition;AngleErrDeg
274.3395;0;0;False;Rating;0.000;Scorpio;True;False;2.7302;0.0000;(0.1727, 1.0779, -6.9183);(-0.0162, -0.0210, -0.0317, 0.9991);(-0.0616, 0.4869, -6.8188);(-0.1521, -0.6860, 0.4638, 0.5395);(0.0000, 0.0000, 0.0000);(0.4078, 0.0000, 2.6996);0.0000;
274.8750;0;0;False;RatingInit;0.536;Scorpio;True;False;2.7302;0.0000;(0.1722, 1.0787, -6.9188);(-0.0201, -0.0255, -0.0305, 0.9990);(-0.0619, 0.4868, -6.8189);(-0.1524, -0.6857, 0.4641, 0.5396);(0.0000, 0.0000, 0.0000);(0.4078, 0.0000, 2.6996);0.0000;
325.8523;0;0;False;Rating;0.000;FinalSnake;True;False;1.8427;0.0000;(0.1887, 1.0918, -6.9386);(-0.0899, 0.0084, -0.0548, 0.9944);(-0.0613, 0.4866, -6.8185);(-0.1515, -0.6851, 0.4638, 0.5409);(0.0000, 0.0000, 0.0000);(-0.1379, 0.0000, 1.8375);0.0000;
331.4596;1;0;True;TrainInit;5.607;empty;empty;empty;7.0000;0.0000;(0.1776, 1.0851, -6.9279);(-0.0487, -0.0240, -0.0350, 0.9979);(-0.0612, 0.4874, -6.8183);(-0.1523, -0.6869, 0.4612, 0.5406);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);0.0000;
333.0789;1;0;True;Focus;1.619;empty;empty;empty;7.0000;0.0000;(0.1842, 1.0818, -6.9245);(-0.0358, 0.0099, -0.0414, 0.9985);(0.1106, 0.6963, -6.5635);(-0.0211, -0.0544, -0.3422, 0.9378);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);0.0000;
333.0900;1;0;True;BeforeFade;0.011;Rabbit;False;False;3.0138;0.0000;(0.1842, 1.0818, -6.9244);(-0.0356, 0.0097, -0.0415, 0.9985);(0.1135, 0.6976, -6.5626);(-0.0231, -0.0520, -0.3471, 0.9361);(0.0000, 0.0000, 0.0000);(-0.4865, 0.0000, 2.9743);0.0000;
333.1905;1;0;True;Stimuli;0.100;Rabbit;False;False;3.0138;0.0000;(0.1850, 1.0812, -6.9236);(-0.0334, 0.0087, -0.0416, 0.9985);(0.1291, 0.6971, -6.5599);(-0.0156, -0.0330, -0.3819, 0.9235);(0.0000, 0.0000, 0.0000);(-0.4865, 0.0000, 2.9743);0.0000;
334.1963;1;0;True;AfterFade;1.006;Rabbit;False;False;3.0138;0.0000;(0.1838, 1.0782, -6.9204);(-0.0149, -0.0091, -0.0453, 0.9988);(0.0433, 0.6394, -6.6053);(0.0837, -0.1358, -0.3123, 0.9365);(0.0000, 0.0000, 0.0000);(-0.4865, 0.0000, 2.9743);0.0000;
342.3612;1;0;True;Estimation;8.165;Rabbit;False;False;3.0138;3.1576;(0.1789, 1.0728, -6.9148);(0.0143, -0.0187, -0.0376, 0.9990);(0.0563, 0.6293, -6.5963);(0.0898, -0.0868, -0.2773, 0.9526);(-0.5292, 0.0000, 3.1129);(-0.4865, 0.0000, 2.9743);0.3594;
344.2038;2;0;True;Focus;1.843;empty;empty;empty;7.0000;0.0000;(0.1793, 1.0741, -6.9159);(0.0079, -0.0193, -0.0379, 0.9991);(0.0523, 0.6301, -6.5984);(0.0946, -0.0972, -0.2797, 0.9504);(-0.5292, 0.0000, 3.1129);(0.0000, 0.0000, -7.0000);0.3594;
