***SESSION HEADER***
{
  "Participant": "S46",
  "Timestamp": "17-22-43-01-08-2019"
}
---SESSION HEADER---
Timestamp;Trial;Round;Training;Phase;PhaseLenght;Stimulus;FearObject;BigObject;RealDistance;EstimatedDistance;HeadsetPosition;HeadsetRotation;ControllerPosition;ControllerRotation;EstimatedPosition;TruePosition;AngleErrDeg
286.8763;0;0;False;Rating;0.000;Crocodile;True;True;3.0573;0.0000;(0.1473, 1.0246, -7.2715);(0.0925, -0.0314, 0.0075, 0.9952);(0.1944, 0.6418, -6.8245);(-0.0738, -0.0376, -0.1572, 0.9841);(0.0000, 0.0000, 0.0000);(-0.2006, 0.0000, 3.0507);0.0000;
294.7723;0;0;False;RatingInit;7.897;Crocodile;True;True;3.0573;0.0000;(0.1512, 1.0387, -7.2876);(0.0276, -0.0096, -0.0113, 0.9995);(0.1967, 0.6423, -6.8255);(-0.0746, -0.0361, -0.1707, 0.9818);(0.0000, 0.0000, 0.0000);(-0.2006, 0.0000, 3.0507);0.0000;
343.5155;0;0;False;Rating;0.000;FinalSnake;True;False;2.8860;0.0000;(0.1503, 1.0315, -7.2727);(0.0482, -0.0190, 0.0274, 0.9983);(0.2692, 0.6201, -6.8599);(0.0145, 0.2350, -0.2089, 0.9492);(0.0000, 0.0000, 0.0000);(-0.1745, 0.0000, 2.8807);0.0000;
344.8896;1;0;True;TrainInit;1.374;empty;empty;empty;7.0000;0.0000;(0.1493, 1.0293, -7.2699);(0.0558, -0.0188, 0.0296, 0.9978);(0.2700, 0.6201, -6.8608);(0.0115, 0.2331, -0.2095, 0.9495);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);0.0000;
346.6441;1;0;True;Focus;1.755;empty;empty;empty;7.0000;0.0000;(0.1485, 1.0304, -7.2716);(0.0525, -0.0185, 0.0314, 0.9980);(0.2702, 0.6198, -6.8601);(0.0108, 0.2338, -0.2064, 0.9501);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);0.0000;
346.6538;1;0;True;BeforeFade;0.010;Rabbit;False;False;3.5520;0.0000;(0.1485, 1.0304, -7.2718);(0.0522, -0.0186, 0.0313, 0.9980);(0.2701, 0.6199, -6.8601);(0.0108, 0.2337, -0.2062, 0.9501);(0.0000, 0.0000, 0.0000);(-0.2376, 0.0000, 3.5440);0.0000;
346.7546;1;0;True;Stimuli;0.101;Rabbit;False;False;3.5520;0.0000;(0.1482, 1.0309, -7.2723);(0.0507, -0.0191, 0.0317, 0.9980);(0.2700, 0.6201, -6.8599);(0.0109, 0.2340, -0.2060, 0.9501);(0.0000, 0.0000, 0.0000);(-0.2376, 0.0000, 3.5440);0.0000;
347.7597;1;0;True;AfterFade;1.005;Rabbit;False;False;3.5520;0.0000;(0.1490, 1.0301, -7.2717);(0.0541, -0.0182, 0.0311, 0.9979);(0.2622, 0.6282, -6.8616);(-0.0226, 0.2179, -0.1718, 0.9605);(0.0000, 0.0000, 0.0000);(-0.2376, 0.0000, 3.5440);0.0000;
358.5608;1;0;True;Estimation;10.801;Rabbit;False;False;3.5520;3.7492;(0.1476, 1.0290, -7.2875);(0.0885, -0.0065, -0.0033, 0.9961);(0.1684, 0.6210, -6.7819);(0.0123, -0.0534, 0.1311, 0.9899);(-0.1978, 0.0000, 3.7440);(-0.2376, 0.0000, 3.5440);0.8108;
360.2024;2;0;True;Focus;1.642;empty;empty;empty;7.0000;0.0000;(0.1534, 1.0258, -7.2908);(0.1074, -0.0070, -0.0187, 0.9940);(0.1993, 0.7309, -6.9609);(-0.0276, 0.0143, -0.2659, 0.9635);(-0.1978, 0.0000, 3.7440);(0.0000, 0.0000, -7.0000);0.8108;
360.2135;2;0;True;BeforeFade;0.011;Turtle;False;False;1.8142;0.0000;(0.1535, 1.0260, -7.2910);(0.1065, -0.0073, -0.0190, 0.9941);(0.2000, 0.7315, -6.9610);(-0.0305, 0.0173, -0.2644, 0.9638);(-0.1978, 0.0000, 3.7440);(0.1876, 0.0000, 1.8044);0.8108;
360.3141;2;0;True;Stimuli;0.101;Turtle;False;False;1.8142;0.0000;(0.1543, 1.0326, -7.2933);(0.0819, -0.0102, -0.0160, 0.9965);(0.2017, 0.7419, -6.9608);(-0.0738, 0.0162, -0.2151, 0.9737);(-0.1978, 0.0000, 3.7440);(0.1876, 0.0000, 1.8044);0.8108;
