***SESSION HEADER***
{
  "Participant": "S30",
  "Timestamp": "13-36-12-16-07-2019"
}
---SESSION HEADER---
Timestamp;Trial;Round;Training;Phase;PhaseLenght;Stimulus;FearObject;BigObject;RealDistance;EstimatedDistance;HeadsetPosition;HeadsetRotation;ControllerPosition;ControllerRotation;EstimatedPosition;TruePosition;AngleErrDeg
211.2332;0;0;False;Rating;0.000;FinalSnake;True;False;3.6006;0.0000;(0.0507, 1.2163, -7.2145);(-0.0704, 0.0405, -0.0300, 0.9962);(0.0441, 0.5874, -6.8485);(0.0643, -0.1347, 0.1944, 0.9695);(0.0000, 0.0000, 0.0000);(-0.6881, 0.0000, 3.5342);0.0000;
221.6311;0;0;False;RatingInit;10.399;FinalSnake;True;False;3.6006;0.0000;(0.0479, 1.2127, -7.2092);(-0.0357, 0.0394, -0.0272, 0.9982);(0.0412, 0.5903, -6.8506);(0.0641, -0.1349, 0.1837, 0.9716);(0.0000, 0.0000, 0.0000);(-0.6881, 0.0000, 3.5342);0.0000;
267.3921;0;0;False;Rating;0.000;Deer;False;False;2.0759;0.0000;(0.0468, 1.2094, -7.2000);(-0.0130, 0.0457, -0.0232, 0.9986);(0.0854, 0.6253, -6.8262);(-0.0318, -0.0299, 0.0671, 0.9968);(0.0000, 0.0000, 0.0000);(0.3831, 0.0000, 2.0402);0.0000;
273.3907;1;0;True;TrainInit;5.998;empty;empty;empty;7.0000;0.0000;(0.0578, 1.2113, -7.2080);(-0.0274, 0.0524, -0.0355, 0.9976);(0.0574, 0.6143, -6.8412);(-0.0141, -0.1004, 0.1202, 0.9876);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);0.0000;
275.0206;1;0;True;Focus;1.630;empty;empty;empty;7.0000;0.0000;(0.0597, 1.2142, -7.2129);(-0.0487, 0.0587, -0.0402, 0.9963);(0.0485, 0.6044, -6.8444);(0.0032, -0.1258, 0.1647, 0.9783);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, -7.0000);0.0000;
275.0320;1;0;True;BeforeFade;0.011;Scorpio;True;False;5.3048;0.0000;(0.0598, 1.2143, -7.2127);(-0.0500, 0.0599, -0.0401, 0.9961);(0.0489, 0.6047, -6.8445);(0.0027, -0.1242, 0.1646, 0.9785);(0.0000, 0.0000, 0.0000);(-1.1518, 0.0000, 5.1782);0.0000;
275.1324;1;0;True;Stimuli;0.100;Scorpio;True;False;5.3048;0.0000;(0.0607, 1.2151, -7.2083);(-0.0590, 0.0735, -0.0443, 0.9946);(0.0571, 0.6110, -6.8430);(-0.0061, -0.1045, 0.1458, 0.9838);(0.0000, 0.0000, 0.0000);(-1.1518, 0.0000, 5.1782);0.0000;
276.1376;1;0;True;AfterFade;1.005;Scorpio;True;False;5.3048;0.0000;(0.0467, 1.2100, -7.2079);(-0.0118, 0.0506, -0.0257, 0.9983);(0.0470, 0.6035, -6.8417);(0.0073, -0.1171, 0.1616, 0.9799);(0.0000, 0.0000, 0.0000);(-1.1518, 0.0000, 5.1782);0.0000;
285.8552;1;0;True;Estimation;9.717;Scorpio;True;False;5.3048;5.3805;(0.0368, 1.2105, -7.2042);(-0.0138, -0.0438, -0.0207, 0.9987);(0.0590, 0.6273, -6.8369);(-0.0330, -0.1121, 0.0140, 0.9931);(-1.1286, 0.0000, 5.2608);(-1.1518, 0.0000, 5.1782);0.4311;
287.6759;2;0;True;Focus;1.821;empty;empty;empty;7.0000;0.0000;(0.0459, 1.2204, -7.2210);(-0.0866, 0.0114, -0.0282, 0.9958);(0.0630, 0.6323, -6.8347);(-0.1115, -0.0524, 0.1322, 0.9835);(-1.1286, 0.0000, 5.2608);(0.0000, 0.0000, -7.0000);0.4311;
287.6867;2;0;True;BeforeFade;0.011;Rabbit;False;False;3.8586;0.0000;(0.0460, 1.2204, -7.2212);(-0.0873, 0.0116, -0.0282, 0.9957);(0.0628, 0.6316, -6.8348);(-0.1099, -0.0543, 0.1335, 0.9834);(-1.1286, 0.0000, 5.2608);(-0.2208, 0.0000, 3.8522);0.4311;
287.7871;2;0;True;Stimuli;0.100;Rabbit;False;False;3.8586;0.0000;(0.0469, 1.2210, -7.2220);(-0.0915, 0.0146, -0.0284, 0.9953);(0.0651, 0.6331, -6.8351);(-0.0786, -0.0887, 0.0323, 0.9924);(-1.1286, 0.0000, 5.2608);(-0.2208, 0.0000, 3.8522);0.4311;
288.7926;2;0;True;AfterFade;1.005;Rabbit;False;False;3.8586;0.0000;(0.0496, 1.2155, -7.2135);(-0.0558, 0.0170, -0.0309, 0.9978);(0.0688, 0.6303, -6.8363);(-0.0724, -0.0508, 0.1100, 0.9900);(-1.1286, 0.0000, 5.2608);(-0.2208, 0.0000, 3.8522);0.4311;
290.6132;2;0;True;Estimation;1.821;Rabbit;False;False;3.8586;4.0937;(0.0423, 1.2057, -7.1975);(0.0107, -0.0024, -0.0210, 0.9997);(0.0805, 0.6153, -6.8327);(0.0098, -0.0387, 0.0192, 0.9990);(-0.2215, 0.0000, 4.0877);(-0.2208, 0.0000, 3.8522);0.1780;
292.3220;3;0;True;Focus;1.709;empty;empty;empty;7.0000;0.0000;(0.0473, 1.2125, -7.2071);(-0.0351, 0.0169, -0.0245, 0.9989);(0.0859, 0.6196, -6.8261);(-0.0203, -0.0184, 0.0490, 0.9984);(-0.2215, 0.0000, 4.0877);(0.0000, 0.0000, -7.0000);0.1780;
292.3332;3;0;True;BeforeFade;0.011;FinalWolf;True;False;3.5797;0.0000;(0.0472, 1.2125, -7.2071);(-0.0349, 0.0165, -0.0243, 0.9990);(0.0856, 0.6199, -6.8264);(-0.0216, -0.0191, 0.0499, 0.9983);(-0.2215, 0.0000, 4.0877);(-0.3027, 0.0000, 3.5669);0.1780;
292.4339;3;0;True;Stimuli;0.101;FinalWolf;True;False;3.5797;0.0000;(0.0463, 1.2124, -7.2070);(-0.0343, 0.0157, -0.0229, 0.9990);(0.0856, 0.6208, -6.8275);(-0.0277, -0.0214, 0.0556, 0.9978);(-0.2215, 0.0000, 4.0877);(-0.3027, 0.0000, 3.5669);0.1780;
293.4390;3;0;True;AfterFade;1.005;FinalWolf;True;False;3.5797;0.0000;(0.0479, 1.2129, -7.2079);(-0.0347, 0.0100, -0.0261, 0.9990);(0.0748, 0.6195, -6.8304);(-0.0300, -0.0420, 0.0821, 0.9953);(-0.2215, 0.0000, 4.0877);(-0.3027, 0.0000, 3.5669);0.1780;
296.0417;3;0;True;Estimation;2.603;FinalWolf;True;False;3.5797;3.7233;(0.0420, 1.2132, -7.2094);(-0.0375, -0.0063, -0.0206, 0.9991);(0.0745, 0.6073, -6.8313);(0.0184, -0.0548, 0.0745, 0.9955);(-0.3090, 0.0000, 3.7104);(-0.3027, 0.0000, 3.5669);0.0885;
297.7058;4;0;True;Focus;1.664;empty;empty;empty;7.0000;0.0000;(0.0461, 1.2141, -7.2102);(-0.0475, 0.0133, -0.0231, 0.9985);(0.0790, 0.6096, -6.8297);(0.0023, -0.0331, 0.1182, 0.9924);(-0.3090, 0.0000, 3.7104);(0.0000, 0.0000, -7.0000);0.0885;
